Transaction ID,CPU Time,I/O on Disk,% Read Operations
571,2.675,4,16
572,2.2031,3,11
573,2.3355,3,87
574,2.4931,4,90
575,2.2347,3,7
576,2.6467,4,99
577,2.2495,4,86
578,2.3269,3,89
579,2.5307,4,91
580,2.0949,3,9
581,2.5154,3,2
582,2.2897,4,11
583,2.2306,3,86
584,2.3987,3,0
585,2.8325,3,87
586,2.0104,3,10
587,2.3043,4,88
588,2.6093,3,95
589,2.1842,3,92
590,2.8431,3,93
591,2.7135,3,99
592,2.4073,3,16
593,2.3947,4,7
594,2.4261,3,12
595,2.4696,4,84
596,2.2427,4,99
597,2.5407,4,88
598,2.7512,3,86
599,2.2783,3,93
600,2.5276,3,75
601,2.3875,3,10
602,2.6926,4,92
603,2.4094,4,92
604,2.0122,3,91
605,2.1253,3,88
606,2.5745,3,93
607,2.4003,4,6
608,2.5019,4,0
609,2.384,3,89
610,2.4992,3,14
611,2.1139,3,9
612,2.0443,4,100
613,2.0836,4,6
614,2.3296,3,10
615,2.4657,4,86
616,2.0561,3,14
617,1.9896,3,10
618,2.2767,3,88
619,2.6478,3,12
620,2.3868,3,6
621,2.4404,4,15
622,2.5049,3,91
623,2.3145,3,96
624,2.6008,4,92
625,2.4658,3,11
626,2.4686,3,87
627,2.4678,4,11
628,2.6092,4,89
629,2.5401,4,15
630,2.1141,3,85
631,2.2314,4,94
632,2.446,3,3
633,2.7237,3,8
634,2.1246,3,11
635,2.5,3,89
636,2.3437,3,89
637,2.2929,3,15
638,2.544,3,89
639,2.1309,3,3
640,2.1717,3,10
641,2.2141,3,94
642,2.1243,3,100
643,2.4819,3,96
644,2.2606,3,1
645,2.6075,3,87
646,2.4056,3,15
647,2.2789,3,17
648,2.5408,3,14
649,2.0454,3,87
650,2.3963,3,81
651,2.4998,3,16
652,2.3851,3,11
653,2.5536,3,5
654,2.2477,3,88
655,2.3261,3,93
656,2.5688,3,84
657,2.5161,3,11
658,2.1851,4,8
659,2.3902,3,13
660,2.4469,3,13
661,2.4713,3,92
662,2.5965,3,94
663,2.3203,4,10
664,2.4981,3,1
665,2.7452,3,90
666,2.0301,3,19
667,2.3193,3,11
668,2.2196,3,97
669,2.2726,3,6
670,2.1643,3,16
671,2.2907,3,14
672,2.7005,3,93
673,2.4414,3,6
674,2.5978,3,82
675,2.4785,3,12
676,2.129,3,93
677,2.2922,3,11
678,2.4541,4,5
679,2.223,3,91
680,2.4264,4,13
681,2.1977,3,86
682,2.1006,3,1
683,2.1753,3,16
684,2.4534,3,7
685,2.254,4,14
686,2.5847,3,87
687,2.2622,3,8
688,2.3064,3,86
689,2.5018,3,11
690,1.9504,3,89
691,2.6358,3,85
692,2.2712,4,93
693,2.1499,4,14
694,2.3183,3,4
695,2.5201,4,10
696,2.4718,3,10
697,2.62,3,83
698,2.6394,3,12
699,2.5565,3,14
700,2.3029,3,12
701,2.5444,3,81
702,2.3365,3,13
703,2.36,3,17
704,2.1642,3,97
705,2.0464,4,11
706,2.4906,3,89
707,2.3754,3,6
708,2.5393,3,5
709,2.6272,4,9
710,2.6298,3,90
711,2.5017,3,89
712,2.5204,3,16
713,2.0803,4,9
714,2.4948,4,1
715,2.6211,3,97
716,2.2849,3,11
717,2.4137,3,88
718,2.0577,3,97
719,2.5872,3,8
720,2.3941,4,99
721,2.2713,3,91
722,2.429,4,96
723,2.2903,3,88
724,2.7474,3,92
725,2.1635,3,88
726,2.2311,4,13
727,2.1615,4,20
728,2.6488,3,97
729,2.2236,3,90
730,2.735,3,89
731,2.4571,4,99
732,2.3011,4,8
733,2.8711,4,88
734,2.4211,3,2
735,2.2405,3,9
736,2.3864,3,91
737,2.4715,3,92
738,2.484,4,88
739,2.2275,3,14
740,2.4856,3,94
741,2.6137,4,87
742,2.3623,3,89
743,2.2049,4,12
744,2.3854,4,8
745,2.3391,3,10
746,2.1534,3,13
747,2.6153,3,10
748,2.5421,4,92
749,2.5917,3,88
750,2.8985,3,100
751,2.2248,3,5
752,2.5701,3,6
753,2.4761,4,7
754,2.4912,3,85
755,2.3356,3,11
756,2.6049,4,2
757,2.6577,3,13
758,2.3886,3,7
759,2.5459,3,11
760,2.4647,3,89
761,2.4873,3,5
762,2.4112,3,90
763,2.042,3,96
764,2.334,4,84
765,2.8345,3,8
766,2.5745,3,82
767,2.2088,3,90
768,2.2343,3,3
769,2.6129,3,2
770,2.4042,3,11
771,2.1571,3,10
772,2.4613,3,15
773,2.3824,3,0
774,2.4768,4,83
775,2.5692,3,6
776,1.7769,3,11
777,2.6819,3,88
778,2.1369,3,13
779,2.6872,3,94
780,2.2667,4,12
781,2.3566,3,11
782,2.6306,3,88
783,2.8022,3,80
784,2.7812,3,8
785,2.2252,3,12
786,2.0865,3,4
787,2.1211,3,90
788,2.3006,4,95
789,2.1713,3,16
790,2.6037,3,93
791,2.616,3,18
792,2.5441,3,15
793,2.6571,3,77
794,2.0328,3,12
795,2.4059,3,91
796,2.3261,3,92
797,2.6599,3,17
798,2.4498,4,91
799,2.2664,3,87
800,2.1023,3,7
801,2.3709,3,80
802,2.6368,3,15
803,2.1527,3,7
804,2.3648,4,20
805,2.5288,4,8
806,2.2227,4,13
807,2.4701,3,88
808,2.4933,3,7
809,2.4563,3,5
810,2.5021,3,91
811,2.4129,3,89
812,2.5398,4,10
813,2.3683,3,10
814,2.3419,3,92
815,2.2339,4,26
816,2.3757,4,7
817,2.2305,3,5
818,2.2605,3,0
819,2.5672,3,14
820,2.3221,3,91
821,2.0879,3,91
822,2.4095,3,0
823,2.2936,3,92
824,2.3117,3,90
825,2.5542,3,86
826,2.2097,3,14
827,2.2103,3,77
828,2.1982,3,18
829,2.5325,3,10
830,2.6985,4,11
831,2.3786,4,13
832,2.6083,3,19
833,2.4683,3,14
834,2.5718,3,94
835,2.3371,3,93
836,2.5159,3,10
837,1.8987,3,95
838,2.1969,4,90
839,2.0062,3,92
840,2.3101,3,4
841,2.5394,3,91
842,1.9728,4,12
843,2.2725,3,19
844,2.6371,3,14
845,2.0926,4,12
846,2.0358,3,92
847,2.5459,4,4
848,2.4293,3,93
849,2.4163,3,88
850,2.5294,3,92
851,2.5488,3,92
852,2.3832,4,89
853,2.5929,4,89
854,2.6901,3,20
855,2.4305,4,94
856,2.4249,3,84
857,2.3957,3,84
858,2.2847,3,91
859,2.3218,3,85
860,2.2177,3,10
861,2.4419,3,88
862,2.2031,3,8
863,2.4697,4,98
864,2.0488,3,4
865,2.0219,3,6
866,2.4829,3,86
867,2.41,4,7
868,2.5605,4,83
869,2.4266,3,10
870,2.1398,3,9
871,2.423,4,5
872,2.2681,3,7
873,2.1847,3,7
874,2.5302,3,89
875,2.192,4,13
876,2.7615,3,93
877,2.3673,3,87
878,2.3677,3,14
879,2.4098,3,93
880,2.6032,3,97
881,2.2727,3,88
882,2.4837,4,9
883,2.3351,4,5
884,2.2019,3,89
885,2.4555,3,11
886,1.9924,3,14
887,2.5906,3,86
888,2.7545,3,11
889,2.2691,3,3
890,2.4504,3,87
891,2.3712,3,88
892,2.6072,3,16
893,2.2593,3,10
894,2.5102,4,86
895,2.3069,3,86
896,2.4019,3,91
897,2.0256,3,88
898,2.5115,3,6
899,2.3649,3,13
900,2.6412,3,88
901,2.2118,3,13
902,2.2854,3,10
903,2.0839,3,15
904,2.435,3,1
905,2.5517,3,83
906,2.879,3,93
907,2.1931,4,8
908,2.3978,3,88
909,2.5608,4,2
910,2.3475,3,11
911,2.5847,3,89
912,2.2037,3,96
913,2.0324,3,15
914,2.0353,4,9
915,2.3067,3,0
916,2.2472,3,95
917,2.3677,3,21
918,2.0678,3,19
919,1.9941,3,89
920,2.3104,3,85
921,2.5343,3,17
922,2.1218,4,10
923,2.3446,3,18
924,2.2723,4,98
925,2.5627,4,14
926,2.0442,3,4
927,2.4696,4,13
928,2.4204,3,85
929,2.5797,3,79
930,2.1341,3,15
931,2.3541,3,91
932,2.6804,3,96
933,2.4517,3,17
934,2.5232,3,1
935,2.0263,4,2
936,2.4875,3,95
937,2.3394,3,13
938,2.5511,3,7
939,2.5894,4,89
940,2.3819,4,11
941,2.2604,4,18
942,2.2729,3,83
943,2.458,3,86
944,2.3365,3,15
945,2.2086,4,100
946,2.5413,4,11
947,2.4976,3,13
948,2.4856,3,7
949,2.2738,3,97
950,1.941,3,89
951,2.489,3,16
952,2.318,3,96
953,2.4614,3,92
954,2.4719,3,21
955,2.5996,3,83
956,2.3191,3,91
957,2.6342,3,13
958,2.4319,3,84
959,2.7236,4,93
960,2.3973,4,92
961,2.1697,3,87
962,2.5195,3,90
963,2.3876,3,89
964,2.4444,3,7
965,2.4007,3,16
966,1.9489,3,4
967,2.3213,4,87
968,2.4737,4,93
969,2.2756,3,89
970,2.3545,4,9
971,2.5625,4,6
972,2.6765,3,15
973,2.3261,3,10
974,2.3351,3,8
975,2.35,4,16
976,2.3844,3,9
977,2.4389,3,4
978,2.5683,4,18
979,2.5668,3,11
980,2.2556,3,94
981,2.5883,3,87
982,2.5032,3,14
983,2.3816,3,92
984,2.3573,3,85
985,2.6902,3,84
986,2.4242,4,82
987,2.2522,3,17
988,2.6554,3,95
989,2.1481,3,9
990,2.3722,3,7
991,2.2834,3,91
992,2.5063,3,12
993,2.0784,3,91
994,2.5031,3,14
995,2.63,3,80
996,2.5219,4,4
997,2.1405,3,92
998,2.3867,3,12
999,2.3156,4,90
1000,2.0842,3,94
1001,2.6011,4,89
1002,2.3914,3,3
1003,2.0939,3,11
1004,2.1981,3,93
1005,2.3614,3,87
1006,2.3651,3,1
1007,2.645,3,6
1008,2.6479,3,95
1009,2.4887,3,5
1010,2.312,3,19
1011,2.2104,3,11
1012,2.5917,3,14
1013,2.6665,3,93
1014,2.3765,3,5
1015,2.5615,4,4
1016,2.0425,3,88
1017,2.4255,4,8
1018,2.4692,3,89
1019,2.0729,3,5
1020,1.9635,4,95
1021,2.4079,3,13
1022,2.3654,3,93
1023,2.4152,3,96
1024,2.4908,3,93
1025,2.4942,3,17
1026,2.5441,3,75
1027,2.0766,3,92
1028,2.5577,3,95
1029,2.5051,3,4
1030,2.5587,3,9
1031,2.6099,3,14
1032,2.2326,3,99
1033,2.4405,3,15
1034,1.9815,3,9
1035,2.5324,3,15
1036,2.1517,3,85
1037,2.539,3,1
1038,2.2294,3,12
1039,2.6186,3,11
1040,2.1149,3,85
1041,2.6364,3,84
1042,2.5093,3,8
1043,2.2794,3,5
1044,2.4059,3,7
1045,2.2059,4,10
1046,2.0453,3,5
1047,2.3414,4,2
1048,2.196,4,94
1049,2.3065,3,90
1050,2.0922,4,92
1051,2.159,3,92
1052,2.3838,3,5
1053,2.2154,4,87
1054,2.4312,3,90
1055,2.1552,4,13
1056,2.4753,3,88
1057,2.5073,3,18
1058,2.4894,4,87
1059,2.1117,3,12
1060,2.7287,3,19
1061,2.3684,3,93
1062,2.332,4,7
1063,2.5359,3,2
1064,2.5556,3,7
1065,2.3287,3,16
1066,2.5031,3,88
1067,2.3022,3,9
1068,2.167,3,95
1069,2.0441,3,13
1070,2.3592,3,88
1071,2.3213,3,100
1072,2.2218,4,7
1073,2.2268,3,17
1074,2.0207,4,6
1075,2.6081,3,6
1076,2.4825,3,16
1077,2.5688,3,11
1078,2.1417,3,17
1079,2.5223,3,92
1080,2.1722,3,95
1081,2.3216,3,90
1082,2.749,3,91
1083,2.4276,3,89
1084,2.3776,4,6
1085,2.5334,3,11
1086,2.4014,3,100
1087,2.711,3,85
1088,2.5677,3,21
1089,2.3081,3,86
1090,2.3479,3,8
1091,2.5258,3,0
1092,3.1213,3,91
1093,2.2323,3,93
1094,2.2898,3,94
1095,2.5436,3,100
1096,2.2624,3,9
1097,2.5195,4,90
1098,2.2316,4,83
1099,2.41,3,78
1100,2.2659,4,8
1101,2.5028,3,93
1102,2.3443,3,1
1103,2.3752,3,6
1104,2.1879,3,5
1105,2.3101,3,89
1106,2.5781,3,85
1107,2.4096,3,90
1108,2.4737,3,88
1109,2.0568,4,13
1110,2.3808,3,1
1111,2.8728,3,91
1112,2.3809,3,92
1113,2.4281,3,3
1114,2.508,3,17
1115,2.0461,4,96
1116,2.2791,4,2
1117,2.4408,4,3
1118,1.9922,3,9
1119,2.2004,3,16
1120,2.6744,3,91
1121,2.8659,3,89
1122,2.4373,4,6
1123,2.2304,3,87
1124,2.6181,4,8
1125,2.6965,4,94
1126,2.1176,4,7
1127,2.32,3,79
1128,2.2443,3,17
1129,2.298,3,96
1130,2.5293,4,15
1131,2.6283,3,16
1132,2.5089,3,7
1133,2.696,3,15
1134,2.5361,3,97
1135,2.3133,3,88
1136,2.3922,3,2
1137,2.276,4,98
1138,2.4769,3,15
1139,2.6072,3,12
1140,2.458,3,6
1141,2.1661,3,95
1142,2.4118,3,91
1143,2.6802,3,100
1144,2.7989,3,91
1145,2.3017,3,84
1146,2.482,3,3
1147,2.7082,4,4
1148,2.1222,3,14
1149,2.5868,3,96
1150,2.3982,3,5
1151,2.3466,3,93
1152,2.4608,3,9
1153,2.1611,4,11
1154,2.5586,4,5
1155,2.2267,4,99
1156,2.1697,3,13
1157,2.3733,3,8
1158,2.7239,4,8
1159,2.2909,3,87
1160,2.4146,4,4
1161,2.2237,3,19
1162,2.2862,3,10
1163,2.1772,3,87
1164,2.4117,3,13
1165,2.2565,3,15
1166,2.2053,4,3
1167,2.2872,3,8
1168,2.4607,3,8
1169,2.1471,4,16
1170,2.2556,3,12
1171,2.3452,4,89
1172,2.305,3,95
1173,2.2907,3,5
1174,2.642,3,17
1175,2.3379,3,97
1176,2.6072,3,2
1177,2.7881,3,86
1178,2.3448,3,10
1179,2.4782,3,84
1180,2.2492,3,93
1181,2.1041,4,11
1182,2.2426,3,85
1183,2.2663,4,90
1184,2.552,3,5
1185,2.3055,3,90
1186,2.135,3,86
1187,2.2993,3,13
1188,2.392,3,83
1189,2.7154,3,9
1190,2.5519,3,17
1191,2.1514,4,80
1192,2.4842,3,20
1193,2.4921,4,90
1194,2.3869,4,9
1195,2.597,3,92
1196,2.0522,3,8
1197,2.4036,3,5
1198,2.4973,3,8
1199,2.9634,3,13
1200,2.4427,3,2
1201,2.3238,3,80
1202,2.23,3,95
1203,2.4625,4,89
1204,2.6885,4,89
1205,2.8396,3,93
1206,2.0483,4,97
1207,2.6447,4,2
1208,2.5315,3,8
1209,2.5544,3,94
1210,2.412,3,88
1211,2.6285,4,88
1212,2.6577,3,88
1213,2.2785,3,11
1214,2.1906,3,12
1215,2.3889,3,91
1216,2.3876,3,6
1217,2.7282,3,91
1218,2.7225,3,9
1219,2.7413,3,87
1220,2.3869,4,93
1221,2.4052,3,92
1222,2.6364,3,0
1223,2.7976,4,18
1224,2.378,3,89
1225,2.4789,3,17
1226,2.189,3,91
1227,1.9062,3,91
1228,2.3828,3,12
1229,2.0464,3,87
1230,2.182,3,11
1231,2.6125,3,95
1232,2.0918,3,90
1233,2.2388,3,95
1234,2.5872,4,88
1235,2.6285,3,84
1236,2.2974,3,13
1237,2.1303,3,14
1238,1.858,3,7
1239,2.3811,3,4
1240,2.6471,4,89
1241,2.4818,4,6
1242,2.6434,3,8
1243,2.0243,4,91
1244,2.2624,3,7
1245,2.2617,4,16
1246,2.7902,4,94
1247,2.4969,4,8
1248,2.1785,3,11
1249,2.1037,3,8
1250,2.8509,3,8
1251,2.3138,4,88
1252,2.419,3,21
1253,2.19,4,87
1254,2.2714,3,1
1255,2.0194,3,92
